Name,Address,Phone,Website,Email,Year Established,ABN,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Categories,Full Category Tree,URL
Max Bannah Animation Pty Ltd,"30 York St, Indooroopilly, QLD, 4068",(07) 33714956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Indooroopilly",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Max_Bannah_Animation_Pty_Ltd_1623041.html
Pacific Film & Television Commission,"Level 15 111 George St, Brisbane, QLD, 4000",(07) 32244114,http://www.pftc.com.au,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Brisbane",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Pacific_Film_Television_Commission_895472.html
Visual Abode,"PO Box 640, Coorparoo, QLD, 4151",0419 992 873,http://www.visualabode.com.au,info@visualabode.com.au,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Coorparoo",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Visual_Abode_1430542.html
Black Lab,"22 Exmouth St, Toowong, VIC, 3707",0411 813776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,VIC: Northern District,Toowong",https://www.startlocal.com.au/professional/filmproduction/vic_northerndistrict/Black_Lab_1623031.html
Mathew Clift,"Po Box 493, South Brisbane, QLD, 4101",0408 889647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,South Brisbane",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Mathew_Clift_1623046.html
Planet Aviation Productions,"Level 7 344 Queen St, Brisbane, QLD, 4000",(07) 30043434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Brisbane",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Planet_Aviation_Productions_895473.html
Slingshot,"By Appointment, Brisbane, QLD, 4001",(07) 31023645,http://slingshotagency.com,od.slingshot@gmail.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Brisbane",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Slingshot_3376368.html
Two Little Indians,"610 Stanley St, Woolloongabba, QLD, 4102",(07) 32551888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Woolloongabba",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Two_Little_Indians_1623047.html
Keytone Studios,"Unit 5 34 Nile St, Woolloongabba, QLD, 4102",(07) 32174255,http://www.keytonestudios.com,mail@keytone.com,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Film Productions,Graphic Designers","Professional Services,Film Productions,QLD: Brisbane,Woolloongabba,Professional Services,Graphic Designers,QLD: Brisbane,Woolloongabba",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Keytone_Studios_1856958.html
Taxi Film Production Pty Td,"334 Montague Rd, West End, QLD, 4101",(07) 38460900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Townsville,West End",https://www.startlocal.com.au/professional/filmproduction/qld_townsville/Taxi_Film_Production_Pty_Td_895506.html
Red Movies,"27 Lockhart St, Woolloongabba, QLD, 4102",(07) 38912440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Film Productions,"Professional Services,Film Productions,QLD: Brisbane,Woolloongabba",https://www.startlocal.com.au/professional/filmproduction/qld_brisbane/Red_Movies_895512.html
Australian Medical Placements,"PO Box 771, Bulimba, QLD, 4171",(07) 38997888,http://www.australianmedicalplacements.com.au,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Job Search and Recruitment,"Professional Services,Job Search and Recruitment,QLD: Brisbane,Bulimba",https://www.startlocal.com.au/education/jobsearch/qld_brisbane/Australian_Medical_Placements_2886344.html
Innovative Recruitment Solutions,"Unit 5 676 Wynnum Rd, Morningside, QLD, 4170",(07) 39020293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Job Search and Recruitment,"Professional Services,Job Search and Recruitment,QLD: Brisbane,Morningside",https://www.startlocal.com.au/education/jobsearch/qld_brisbane/Innovative_Recruitment_Solutions_1601573.html
Workline (Qld) Ltd,"5 Reid St, Woolloongabba, QLD, 4102",(07) 33913500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Job Search and Recruitment,"Professional Services,Job Search and Recruitment,QLD: Brisbane,Woolloongabba",https://www.startlocal.com.au/education/jobsearch/qld_brisbane/Workline_Qld_Ltd_411740.html
BoysTown: Capalaba,"22 Loraine St, Capalaba, QLD, 4157",(07) 39064999,http://www.boystown.com.au,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Job Search and Recruitment,"Professional Services,Job Search and Recruitment,QLD: Brisbane,Capalaba",https://www.startlocal.com.au/education/jobsearch/qld_brisbane/BoysTown_Capalaba_2885660.html
Hansen Contracting,"1051 Rochedale Rd, Rochedale, QLD, 4123",(07) 33411074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Job Search and Recruitment,"Professional Services,Job Search and Recruitment,QLD: Brisbane,Rochedale",https://www.startlocal.com.au/education/jobsearch/qld_brisbane/Hansen_Contracting_1601209.html
Apprentice & Trainee Managment Services,"14 Junee Ct, Heritage Park, QLD, 4118",(07) 38032101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Job Search and Recruitment,"Professional Services,Job Search and Recruitment,QLD: Brisbane,Heritage Park",https://www.startlocal.com.au/education/jobsearch/qld_brisbane/Apprentice_Trainee_Managment_Services_1601421.html
