Name,Address,Phone,Website,Email,Year Established,ABN,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Categories,Full Category Tree,URL
Specialised Audio Services Pty Ltd,"18 Lansdowne Rd, Kensington, WA, 6151",412696752,NA,NA,2000,2147483647,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded Media Reproduction,Video & DVD Duplication","Business Services,Recorded Media Reproduction,WA: Perth,Kensington,Personal Services,Video & DVD Duplication,WA: Perth,Kensington",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Specialised_Audio_Services_Pty_Ltd_2020523.html
Corporate Image Productions,"55 Railway Pde, Mount Lawley, WA, 6050",(08) 93701351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Mount Lawley",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Corporate_Image_Productions_1875427.html
Sensimilla Productions,"9/12 Wall St, Maylands, WA, 6051",861618878,NA,NA,2007,2147483647,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded Media Reproduction,Video & DVD Duplication","Business Services,Recorded Media Reproduction,WA: Perth,Maylands,Personal Services,Video & DVD Duplication,WA: Perth,Maylands",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Sensimilla_Productions_2225657.html
Buffalo Film Studios,"62d Lyall St, Redcliffe, WA, 6104",0415 330321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Redcliffe",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Buffalo_Film_Studios_1875455.html
Visual Reality Productions,"Unit 3/ 143 Great Western Hwy, Belmont, WA, 6104",894797835,http://www.visualreality.com.au,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded Media Reproduction,Video & DVD Duplication","Business Services,Recorded Media Reproduction,WA: Perth,Belmont,Personal Services,Video & DVD Duplication,WA: Perth,Belmont",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Visual_Reality_Productions_2054156.html
21cc Broadcast Productions,"36 Cheriton St, Perth, WA, 6000",(08) 93284455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Perth",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/21cc_Broadcast_Productions_1875379.html
Colortape,"Suite 2 884 Beaufort St, Inglewood, WA, 6052",(08) 93702662,http://www.colortape.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Inglewood",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Colortape_1875429.html
Aqua Vision Productions,"21 Camira Way, Quinns Rocks, WA, 6030",0419 838823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Quinns Rocks",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Aqua_Vision_Productions_1875423.html
Precision Films,"11 Pendleton Cres, Butler, WA, 6036",0412 996897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Butler",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Precision_Films_1875424.html
Pro-Copy,"Morley Commercial Centre Cnr Boag Rd & Russell St, Morley, WA, 6062",(08) 93753902,http://www.procopy.com.au,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recording Studios and Services,Video & DVD Duplication","Business Services,Recording Studios and Services,WA: Perth,Morley,Personal Services,Video & DVD Duplication,WA: Perth,Morley",https://www.startlocal.com.au/business/recordingstudios/wa_perth/Pro-Copy_1062451.html
Beechway Video Productions,"27 Cuttler Ave, Beechboro, WA, 6063",(08) 93775294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Video & DVD Duplication,"Personal Services,Video & DVD Duplication,WA: Perth,Beechboro",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Beechway_Video_Productions_1875447.html
Buffalo Film Studios,"Po Box 353, Gosnells, WA, 6110",415330321,NA,NA,2006,2147483647,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded Media Reproduction,Video & DVD Duplication","Business Services,Recorded Media Reproduction,WA: Perth,Gosnells,Personal Services,Video & DVD Duplication,WA: Perth,Gosnells",https://www.startlocal.com.au/personal/viddvdduplic/wa_perth/Buffalo_Film_Studios_2326750.html
